name	station	date	rain_mm
Oslo - Blindern	SN18700	04.12.1937	0
Oslo - Blindern	SN18700	05.12.1937	0
Oslo - Blindern	SN18700	06.12.1937	0
Oslo - Blindern	SN18700	07.12.1937	6,5
Oslo - Blindern	SN18700	08.12.1937	0,2
Oslo - Blindern	SN18700	09.12.1937	0
Oslo - Blindern	SN18700	10.12.1937	0
Oslo - Blindern	SN18700	11.12.1937	0
Oslo - Blindern	SN18700	12.12.1937	0,8
Oslo - Blindern	SN18700	13.12.1937	8,8
Oslo - Blindern	SN18700	14.12.1937	7,1
Oslo - Blindern	SN18700	15.12.1937	0
Oslo - Blindern	SN18700	16.12.1937	3,2
Oslo - Blindern	SN18700	17.12.1937	1
Oslo - Blindern	SN18700	18.12.1937	3,1
Oslo - Blindern	SN18700	19.12.1937	0,5
Oslo - Blindern	SN18700	20.12.1937	0
Oslo - Blindern	SN18700	21.12.1937	0
Oslo - Blindern	SN18700	22.12.1937	0
Oslo - Blindern	SN18700	23.12.1937	0,8
Oslo - Blindern	SN18700	24.12.1937	5,7
Oslo - Blindern	SN18700	25.12.1937	9,8
Oslo - Blindern	SN18700	26.12.1937	0,4
Oslo - Blindern	SN18700	27.12.1937	0
Oslo - Blindern	SN18700	28.12.1937	2,2
Oslo - Blindern	SN18700	29.12.1937	0
Oslo - Blindern	SN18700	30.12.1937	0
Oslo - Blindern	SN18700	31.12.1937	0
Oslo - Blindern	SN18700	01.01.1938	0
Oslo - Blindern	SN18700	02.01.1938	0,8
Oslo - Blindern	SN18700	03.01.1938	0,6
Oslo - Blindern	SN18700	04.01.1938	0
Oslo - Blindern	SN18700	05.01.1938	0
Oslo - Blindern	SN18700	06.01.1938	0
Oslo - Blindern	SN18700	07.01.1938	0
Oslo - Blindern	SN18700	08.01.1938	0
Oslo - Blindern	SN18700	09.01.1938	0,7
Oslo - Blindern	SN18700	10.01.1938	0,8
Oslo - Blindern	SN18700	11.01.1938	0,5
Oslo - Blindern	SN18700	12.01.1938	0
Oslo - Blindern	SN18700	13.01.1938	0,2
Oslo - Blindern	SN18700	14.01.1938	5,6
Oslo - Blindern	SN18700	15.01.1938	1
Oslo - Blindern	SN18700	16.01.1938	18,9
Oslo - Blindern	SN18700	17.01.1938	9,2
Oslo - Blindern	SN18700	18.01.1938	0
Oslo - Blindern	SN18700	19.01.1938	0
Oslo - Blindern	SN18700	20.01.1938	0,5
Oslo - Blindern	SN18700	21.01.1938	1,9
Oslo - Blindern	SN18700	22.01.1938	5,2
Oslo - Blindern	SN18700	23.01.1938	0
