MMDD,   CLIMO,    2013,    2014,    2015,    2016,    2017,    2018,    2019,    2020,    2021,    2022,    2023,    2024,    2025
0519,  21.691,  21.342,  17.256,  19.007,  21.553,  21.532,  14.127,  16.937,  20.103,  17.373,  16.439,  27.546,  40.492,     NaN
0520,  21.900,  22.222,  17.867,  19.192,  21.014,  21.918,  14.222,  17.667,  20.533,  17.820,  16.796,  27.703,  40.747,     NaN
0521,  22.109,  24.201,  19.753,  19.467,  21.685,  21.234,  14.264,  18.116,  21.584,  18.006,  16.807,  27.731,  41.925,     NaN
0522,  22.320,  24.662,  21.214,  19.403,  22.956,  20.226,  13.955,  18.231,  22.729,  17.286,  17.853,  27.423,  42.640,     NaN
0523,  22.537,  24.174,  21.261,  19.169,  23.905,  19.499,  13.898,  18.305,  23.073,  17.354,  17.953,  27.886,  42.752,     NaN
0524,  22.764,  22.513,  22.011,  18.742,  25.003,  19.180,  14.065,  19.549,  23.848,  17.430,  18.736,  29.181,  42.883,     NaN
0525,  22.999,  21.186,  21.234,  18.442,  25.114,  19.697,  14.385,  19.861,  24.598,  18.058,  19.488,  30.802,  42.604,     NaN
0526,  23.250,  21.909,  21.822,  19.486,  25.001,  20.971,  14.378,  20.360,  24.899,  18.151,  20.967,  31.631,  42.382,     NaN
0527,  23.507,  22.624,  21.202,  19.974,  24.726,  21.433,  14.144,  20.393,  25.127,  18.320,  22.067,  32.165,  42.876,     NaN
0528,  23.771,  22.699,  20.113,  20.105,  25.759,  21.769,  14.297,  21.435,  25.010,  19.033,  22.399,  32.555,  43.257,     NaN
0529,  24.042,  22.542,  18.226,  20.876,  26.595,  21.963,  15.303,  21.938,  24.890,  20.115,  22.922,  32.820,  43.051,     NaN
0530,  24.314,  22.132,  18.743,  20.428,  26.654,  22.570,  15.532,  22.836,  26.056,  20.937,  23.153,  33.743,  43.249,     NaN
0531,  24.582,  21.120,  19.244,  20.377,  26.410,  23.471,  15.363,  23.849,  26.480,  21.442,  23.224,  34.175,  44.051,     NaN
0601,  24.845,  22.895,  19.558,  21.159,  26.217,  24.325,  15.261,  24.202,  26.781,  21.751,  22.889,  34.181,  44.512,     NaN
0602,  25.101,  22.585,  18.765,  21.520,  24.345,  24.756,  14.631,  23.949,  27.506,  21.511,  23.221,  34.799,  45.644,     NaN
0603,  25.347,  21.633,  18.082,  21.182,  23.695,  24.802,  14.118,  23.520,  28.337,  21.753,  23.411,  34.544,  46.059,     NaN
0604,  25.582,  21.372,  17.415,  20.294,  24.064,  24.974,  14.279,  23.289,  28.964,  22.140,  23.642,  35.510,  46.401,     NaN
0605,  25.809,  23.180,  18.508,  19.515,  24.742,  25.353,  14.818,     NaN,  29.527,  22.070,  23.892,  38.210,  46.801,     NaN
0606,  26.029,  24.590,  20.265,  20.063,  25.608,  25.901,  14.401,  23.631,  29.633,  21.907,  23.974,  40.674,     NaN,     NaN
0607,  26.247,  26.303,  20.889,  19.806,  25.586,  25.099,  14.756,  23.996,  29.607,  21.800,  24.054,  42.361,  48.160,     NaN
0608,  26.461,  26.109,  21.519,  19.977,  24.710,  24.980,  15.498,  24.201,  29.455,  21.278,  24.147,  43.818,  48.040,     NaN
0609,  26.671,  25.477,  21.634,  19.215,  25.367,  25.471,  16.455,  24.674,  30.285,  20.813,  24.709,  44.324,  47.376,     NaN
0610,  26.878,  24.153,  21.507,  19.574,  27.479,  25.635,  17.287,  24.502,  31.738,  20.423,  23.911,  45.252,  47.589,     NaN
0611,  27.081,  26.133,  19.942,  20.791,  27.519,  25.954,  16.973,  25.079,  32.418,  20.752,  24.395,  46.137,  47.851,     NaN
