PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
2970	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	Lipid	Ceramide PEs	62984	LC/MS Pos Late	100021162	2207	661,5279				
1751	palmitoylcarnitine (C16)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	44681	LC/MS Pos Late	100000776	1425	400,3421	461	6865-14-1	C02990	HMDB00222
1821	palmitoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	52944	LC/MS Pos Late	100009233	1482	342,3367	151731			
4133	pantoate	Cofactors and Vitamins	Pantothenate and CoA Metabolism	63061	LC/MS Neg	100002613	1143	147,0663	439251	470-29-1	C00522	
5364	pantoprazole	Xenobiotics	Drug - Gastrointestinal	38609	LC/MS Neg	100002808	4398	382,0679	4679	102625-70-7	C11806	HMDB05017
4134	pantothenate (Vitamin B5)	Cofactors and Vitamins	Pantothenate and CoA Metabolism	1508	LC/MS Neg	1024	1498,7	218,1034	6613	137-08-6	C00864	HMDB00210
4368	paraxanthine	Xenobiotics	Xanthine Metabolism	18254	LC/MS Neg	100000453	2279	179,0575	4687	611-59-6	C13747	HMDB01860
1393	pelargonate (9:0)	Lipid	Medium Chain Fatty Acid	12035	LC/MS Neg	437	4798	157,1234	8158	112-05-0	C01601	HMDB00847
1408	pentadecanoate (15:0)	Lipid	Long Chain Saturated Fatty Acid	1361	LC/MS Neg	980	5521	241,2173	13849	"1002-84-2;10002-84-2"	C16537	HMDB00826
5890	pentose acid*	Partially Characterized Molecules	Partially Characterized Molecules	63264	LC/MS Polar	100021467	2180	165,0405				
5722	perfluorooctanesulfonate (PFOS)	Xenobiotics	Chemical	57564	LC/MS Neg	100010955	5233	498,9302	74483	1763-23-1	C18142	HMDB59586
5769	perfluorooctanoate (PFOA)	Xenobiotics	Chemical	62071	LC/MS Polar	100020208	685	412,9664	9554			HMDB59587
180	phenol sulfate	Amino Acid	Tyrosine Metabolism	32553	LC/MS Neg	100001510	2156	172,9914	74426	937-34-8	C02180	HMDB60015
